Hyundai;Hb20;1.0 TGDI FLEX COMFORT AUTOMÁTICO;N/A;N/A;43531;89910;Mogi das Cruzes
Hyundai;Hb20;1.0 TGDI FLEX COMFORT AUTOMÁTICO;N/A;N/A;43531;89910;Santos
Chevrolet;Onix;1.0 TURBO FLEX LT AUTOMÁTICO;N/A;N/A;45903;90490;Belo Horizonte
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ AUTOMÁTICO;N/A;N/A;50337;91710;Serra
Volkswagen;Polo;1.0 170 TSI COMFORTLINE AUTOMÁTICO;N/A;N/A;57000;91740;Betim
Hyundai;Hb20;1.0 TGDI FLEX COMFORT PLUS AUTOMÁTICO;N/A;N/A;45489;91980;Belo Horizonte
Volkswagen;Polo;1.0 12V 170 TSI COMFORTLINE FLEX AUTOMÁTICO;N/A;N/A;44404;92020;Bauru
Fiat;Cronos;1.3 FIREFLY FLEX PRECISION CVT;N/A;N/A;40596;92670;Recife
Fiat;Fiorino;1.4 MPI FURGÃO ENDURANCE 8V FLEX 2P MANUAL;N/A;N/A;47838;92970;Bauru
Fiat;Fiorino;1.4 MPI FURGÃO ENDURANCE 8V FLEX 2P MANUAL;N/A;N/A;40254;92970;São Paulo
Hyundai;Hb20s;1.0 TGDI FLEX COMFORT AUTOMÁTICO;N/A;N/A;54245;93160;Campinas
Volkswagen;Polo;1.0 170 TSI COMFORTLINE AUTOMÁTICO;N/A;N/A;51657;94880;São José
Volkswagen;Polo;1.0 170 TSI COMFORTLINE AUTOMÁTICO;N/A;N/A;43331;95160;Recife
Volkswagen;Virtus;1.0 170 TSI AUTOMÁTICO;N/A;N/A;58527;96440;São Paulo
Volkswagen;Virtus;1.0 170 TSI AUTOMÁTICO;N/A;N/A;59982;96440;Osasco
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;N/A;N/A;65865;97160;Porto Alegre
Volkswagen;Polo;1.0 12V 170 TSI COMFORTLINE FLEX AUTOMÁTICO;N/A;N/A;11314;98250;Belo Horizonte
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;N/A;N/A;72690;100610;Sorocaba
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;N/A;N/A;69325;101780;Sorocaba
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;N/A;N/A;64210;101780;Duque de Caxias
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;N/A;N/A;72228;101846;Santo André
Nissan;Kicks;1.6 16V FLEXSTART SENSE XTRONIC;N/A;N/A;40554;103880;Maceió
Nissan;Kicks;1.6 16V FLEXSTART SENSE XTRONIC;N/A;N/A;45540;103880;Maceió
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;N/A;N/A;53144;105590;Belém
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;N/A;N/A;62244;105690;São Paulo
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;N/A;N/A;40742;105950;Natal
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;N/A;N/A;64013;106060;Santo André
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;N/A;N/A;70681;106080;Campo Grande
Chevrolet;Tracker;1.0 TURBO FLEX LT AUTOMÁTICO;N/A;N/A;41822;107580;Cuiabá
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;N/A;N/A;21291;107870;Campo Grande
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;N/A;N/A;40308;109030;Porto Alegre
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;N/A;N/A;55869;109240;Santos
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;N/A;N/A;54685;109240;Rio de Janeiro
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;N/A;N/A;45550;109570;Joinville
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;N/A;N/A;43156;110900;São José do Rio Preto
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;N/A;N/A;51772;110900;Serra
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;N/A;N/A;46378;111150;São Luis
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;N/A;N/A;49441;111150;João Pessoa
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;N/A;N/A;51209;113790;Niterói
Fiat;Toro;1.3 TURBO 270 FLEX FREEDOM AT6;N/A;N/A;56213;114080;Joinville
Chevrolet;Tracker;1.2 TURBO FLEX PREMIER AUTOMÁTICO;N/A;N/A;58485;114690;Porto Alegre
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;N/A;N/A;70575;114810;Santo André
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;N/A;N/A;65198;115000;São José
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;N/A;N/A;43770;115010;Americana
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;N/A;N/A;43444;115010;Rio de Janeiro
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;N/A;N/A;45934;115010;Rio de Janeiro
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;N/A;N/A;51000;115260;Salvador
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;N/A;N/A;52373;115260;Bauru
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;N/A;N/A;51000;115260;Salvador
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;N/A;N/A;15966;115354;Taboão da Serra
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;N/A;N/A;31189;115960;Maceió
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;N/A;N/A;66500;116160;Campo Grande
Hyundai;Creta;1.0 TGDI FLEX COMFORT PLUS AUTOMÁTICO;N/A;N/A;54425;117070;Niterói
Hyundai;Creta;1.0 TGDI FLEX COMFORT PLUS AUTOMÁTICO;N/A;N/A;56863;117070;Uberlândia
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;N/A;N/A;36545;117410;Rio de Janeiro
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;N/A;N/A;74135;118190;Curitiba
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;N/A;N/A;51460;118330;João Pessoa
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;N/A;N/A;45330;119890;Fortaleza
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;N/A;N/A;48923;120930;Belém
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;N/A;N/A;44613;120930;Serra
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;N/A;N/A;53856;122330;Duque de Caxias
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;N/A;N/A;59039;123110;Santos
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;N/A;N/A;37644;123990;Rio de Janeiro
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;N/A;N/A;51481;124110;Recife
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;N/A;N/A;57323;124110;Cuiabá
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;N/A;N/A;46514;124490;Ananindeua
