Volkswagen;Polo;1.0 MPI TRACK MANUAL;2024/2024;62000;72310;Belém
Chevrolet;Onix;1.0 FLEX LT MANUAL;2023/2024;53827;73820;Joinville
Fiat;Strada;1.4 FIRE FLEX ENDURANCE CS MANUAL;2022/2023;56119;74300;Uberlândia
Chevrolet;Onix;1.0 FLEX PLUS LT MANUAL;2023/2024;73875;74380;São Paulo
Peugeot;208;1.6 16V FLEX ACTIVE AT6;2022/2023;57000;75450;Salvador
Volkswagen;Polo;1.0 MPI TRACK MANUAL;2023/2024;39177;75590;Salvador
Volkswagen;Polo;1.0 170 TSI MANUAL;2023/2024;60000;75600;Niterói
Volkswagen;Polo;1.0 MPI MANUAL;2023/2024;49857;76880;João Pessoa
Fiat;Strada;1.4 FIRE FLEX ENDURANCE CS MANUAL;2022/2023;52000;76940;Uberlândia
Volkswagen;Polo;1.0 170 TSI MANUAL;2023/2023;48267;77990;Natal
Chevrolet;Onix;1.0 FLEX PLUS LT MANUAL;2023/2024;44093;78350;Belo Horizonte
Chevrolet;Onix;1.0 FLEX PLUS LT MANUAL;2024/2024;46410;78350;Fortaleza
Hyundai;Hb20s;1.0 12V FLEX COMFORT MANUAL;2023/2024;58000;79690;Salvador
Volkswagen;Saveiro;1.6 MSI ROBUST CS 16V FLEX 2P MANUAL;2023/2024;64224;79760;Mogi das Cruzes
Hyundai;Hb20s;1.0 TGDI FLEX EDIÇÃO ESPECIAL AUTOMÁTICO;2022/2023;57665;81440;Canoas
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2022/2022;55270;81820;Cascavel
Hyundai;Hb20s;1.0 12V FLEX COMFORT PLUS MANUAL;2023/2024;18800;82110;Mogi das Cruzes
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ AUTOMÁTICO;2023/2023;47024;82260;João Pessoa
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ AUTOMÁTICO;2022/2023;61255;83100;Joinville
Volkswagen;Saveiro;1.6 MSI ROBUST CS 16V FLEX 2P MANUAL;2023/2024;51324;83630;Goiânia
Fiat;Cronos;1.3 FIREFLY FLEX DRIVE CVT;2023/2023;51676;84120;Betim
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ AUTOMÁTICO;2023/2023;59642;85030;Curitiba
Fiat;Pulse;1.0 TURBO 200 FLEX DRIVE CVT;2022/2023;62079;88160;Ribeirão Preto
Fiat;Pulse;1.0 TURBO 200 FLEX DRIVE CVT;2022/2023;60305;88160;Cascavel
Fiat;Pulse;1.3 FLEX DRIVE CVT;2023/2024;62079;88160;Bauru
Hyundai;Hb20;1.0 TGDI FLEX COMFORT AUTOMÁTICO;2023/2024;56421;88680;São José do Rio Preto
Hyundai;Hb20;1.0 TGDI FLEX COMFORT PLUS AUTOMÁTICO;2023/2024;50702;88680;São José do Rio Preto
Fiat;Cronos;1.3 FIREFLY FLEX DRIVE CVT;2023/2024;49950;89200;Rio de Janeiro
Hyundai;Hb20;1.0 TGDI FLEX COMFORT AUTOMÁTICO;2023/2024;43531;89910;Mogi das Cruzes
Hyundai;Hb20;1.0 TGDI FLEX COMFORT AUTOMÁTICO;2023/2024;43531;89910;Santos
Chevrolet;Onix;1.0 TURBO FLEX LT AUTOMÁTICO;2023/2024;45903;90490;Belo Horizonte
Hyundai;Hb20;1.0 TGDI FLEX COMFORT PLUS AUTOMÁTICO;2023/2024;52016;91700;Osasco
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ AUTOMÁTICO;2023/2024;50337;91710;Serra
Volkswagen;Polo;1.0 170 TSI COMFORTLINE AUTOMÁTICO;2023/2024;57000;91740;Betim
Hyundai;Hb20;1.0 TGDI FLEX COMFORT PLUS AUTOMÁTICO;2023/2024;45489;91980;Belo Horizonte
Fiat;Cronos;1.3 FIREFLY FLEX PRECISION CVT;2023/2024;40596;92670;Recife
Fiat;Fiorino;1.4 MPI FURGÃO ENDURANCE 8V FLEX 2P MANUAL;2024/2024;47838;92970;Bauru
Fiat;Fiorino;1.4 MPI FURGÃO ENDURANCE 8V FLEX 2P MANUAL;2023/2024;40254;92970;São Paulo
Hyundai;Hb20s;1.0 TGDI FLEX COMFORT AUTOMÁTICO;2023/2024;54245;93160;Campinas
Volkswagen;Polo;1.0 170 TSI COMFORTLINE AUTOMÁTICO;2023/2024;51657;93930;São José
Volkswagen;Polo;1.0 170 TSI COMFORTLINE AUTOMÁTICO;2023/2024;43331;95160;Recife
